actor,movie
Barbara Hershey,Hannah and Her Sisters
Carrie Fisher,Hannah and Her Sisters
Michael Caine,Hannah and Her Sisters
Mia Farrow,Hannah and Her Sisters
Dianne West,Hannah and Her Sisters
Maureen O'Sullivan,Hannah and Her Sisters
Lloyd Nolan,Hannah and Her Sisters
Max von Sydow,Hannah and Her Sisters
Woody Allen,Hannah and Her Sisters
Woody Allen,Play it Again Sam
Diane Keaton,Play it Again Sam
Tony Roberts,Play it Again Sam
Jerry Lacy,Play it Again Sam
Susan Anspach,Play it Again Sam
Jennfer Salt,Play it Again Sam
Joy Bang,Play it Again Sam
Viva,Play it Again Sam
Susanne Zenor,Play it Again Sam
Diana Davila,Play it Again Sam
Woody Allen,Annie Hall
Diane Keaton,Annie Hall
Tony Roberts,Annie Hall
Carol Kane,Annie Hall
Paul Simon,Annie Hall
Shelley Duvall,Annie Hall
Janet Margolin,Annie Hall
Colleen Dewhurst,Annie Hall
Christopher Walken,Annie Hall
Woody Allen,Love and Death 
Diane Keaton,Love and Death 
Georges Adet,Love and Death 
Frank Adu,Love and Death 
Edmond Ardisson,Love and Death 
Feodor Atkine,Love and Death 
Albert Augier,Love and Death 
Diane Keaton,Crimes of the Heart
Jessica Lange,Crimes of the Heart
Sissy Spacek,Crimes of the Heart
Sam Shepard,Crimes of the Heart
Tess Harper,Crimes of the Heart
David Carpenter,Crimes of the Heart
Hurd Hatfield,Crimes of the Heart
Roy Scheider,All that Jazz
Jessica Lange,All that Jazz
Leland Palmer,All that Jazz
Ann Reinking,All that Jazz
Cliff Gorman,All that Jazz
Ben Vereen,All that Jazz
Michael Tolan,All that Jazz
